Stock Code,Stock Name,Headline,Main Category,Subcategory,PDF Link,Date,News ID
531673,Anka India Ltd,Certificate signed by RTA is attached.,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fa32fc4d-b69b-4778-bbcf-8170f90c8a8a.pdf,19/04/25,d2eff7a8-191b-42fe-85ad-3ad0620c6814
540914,SRU Steels Ltd,"Intimation of Resignation of Director under Regulation 30 of SEBI (LODR) Regulations, 2015",General Announcement,Resignation Of Director  0,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3c86715e-e4eb-414a-811d-42d1530c4716.pdf,19/04/25,33854749-f1f9-4181-b8b3-20a14243b7ed
526251,Mid East Portfolio Management Ltd,"Dear Sir/ Madam,

Pursuant to Regulation 23(9) of the SEBI (LODR) Regulations, 2015, please find enclosed herewith the disclosure of Related Party Transactions of the Company for the ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dd261a88-dbbd-4c34-bdf9-0bca6bb4eed7.pdf,19/04/25,30f390c8-9086-4900-ac51-a3f9f1aa6066
533301,Shekhawati Industries Ltd,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/54cd5798-24d4-42dd-a6c5-890c733365c7.pdf,19/04/25,464dbde8-b9ad-4c13-917f-f0f314994f52
540914,SRU Steels Ltd,"Intimation of Resignation of Managing Director under regulation 30 of SEBI (LODR), Regulations 2015",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cf1ebccd-4d44-4a19-a120-30e7bf92c217.pdf,19/04/25,4348c816-ff5f-4452-93a1-400dadadb14f
540914,SRU Steels Ltd,"Intimation of Resignation of CFO under regulation 30 of SEBI (LODR) Regulations, 2015",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/973c8893-ccd5-4592-bc7f-f0dbc3c94850.pdf,19/04/25,27c1af29-7b14-4612-b945-6fa2d096bb4e
526931,Hariyana Ship Breakers Ltd-$,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a77144cf-8a55-4649-9564-633946661b11.pdf,19/04/25,2d63f89b-d430-4e49-9946-f26ea4f66d62
539006,PTC Industries Ltd,As enclosed,General Announcement,Newspaper Publication  19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/38e8db0e-1fa6-4f3d-9b92-9a4d3a9e7fe7.pdf,19/04/25,50c53b59-a08d-4eba-af0b-b7d81c68091c
539254,Adani Energy Solutions Ltd,"Adani Energy Solutions Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 24/04/2025 ,inter alia, to consider and approve the Audited Financial ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/507245de-367c-451f-978a-b67a8bd84536.pdf,19/04/25,d6e85595-bb33-4282-8d13-7d9c5a5d3dc6
539006,PTC Industries Ltd,As enclosed,General Announcement,As Enclosed,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7cb25e73-e573-4a66-8351-f44f931805d1.pdf,19/04/25,f48ca6ac-783a-40eb-9646-67c884265952
540914,SRU Steels Ltd,"Resignation of Director under Regulation 30 of SEBI (LODR) Regulations, 2015",General Announcement,Resignation Of Director  0,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4ff60859-36da-4139-9a40-0cedb62f30a3.pdf,19/04/25,a737258b-853a-4378-9bc8-72c104fb3173
524816,Natco Pharma Ltd,"Compliance Certificate under Regulation 74(5) of SEBI (DP) Regulations, 2018",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/656b5ae7-7dab-422e-b28f-75b41f343654.pdf,19/04/25,570a1bac-c225-4192-bdcc-f6bc7b7bb465
533206,SJVN Ltd,Extension of additional charge of Director (Finance),General Announcement,Change in Directorate,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7074df11-0c4a-464a-9c0c-789a32a03910.pdf,19/04/25,31b06c74-8299-4957-9ed7-54fcda8518ec
540914,SRU Steels Ltd,"Intimation of Resignation of Managing Director under Regulation 30 (LODR) Regulations, 2015.",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/18bcfac9-9673-4e88-b479-83b05924c1fb.pdf,19/04/25,368bfcf8-1c8a-4754-a21d-036dfd4d43af
517399,VXL Instruments Ltd,"VXL Instrument Limited has informed the exchange about Certificate under SEBI(DP) Regulations,2018 for the Quarter and the Year ended March 2025.",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4cddd585-37a4-4719-8790-c2c01a4bd277.pdf,19/04/25,72efe752-aef9-418e-b33a-85f93a88f4e2
543619,Concord Control Systems Ltd,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/301afdfc-dfef-47fa-a9e2-cc662f27362d.pdf,19/04/25,a47357a8-f804-4239-89af-a3634e0f7b29
500039,Banco Products (India) Ltd-$,"Please find attached herewith Intimation regarding Communication received from Registrar and Share Transfer Agent ""RTA"" of the Company.",General Announcement,Of The Company,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b39f3953-367b-4db8-b0d4-b7ee1cd5c558.pdf,19/04/25,0aa33e83-5f25-4db4-8b7c-354d4716854d
530495,Stratmont Industries Ltd,Not identified as large entity for the year ended 31st March 2025,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f6986b31-5a61-46cd-8652-bf7420a356cd.pdf,19/04/25,6cbed0f1-e807-4aa4-9c2e-cd9762c2cd8c
540914,SRU Steels Ltd,"SRU Steels Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 21/04/2025 ,inter alia, to consider and approve 1. To appoint Mr. Vijay Sureshbhai ....",General Announcement,To Appoint Mr,https://www.bseindia.com/xml-data/corpfiling/AttachLive/84eac992-5505-49a1-87ce-26c959185fa3.pdf,19/04/25,9ae0cd71-817e-4886-afec-38f7c2f7e653
543945,Netweb Technologies India Ltd,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/74a50607-a7be-447a-9bd2-1c48b1befe9c.pdf,19/04/25,067abe26-40b3-4a32-b2a2-09ea35c5dcd2
530495,Stratmont Industries Ltd,Not identified as top 1000 listed entity for the year ended 31st March2025,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ff4d132c-7b9b-423b-815b-a179b59282bf.pdf,19/04/25,78c942ca-66da-49b5-a033-d08a4df8710a
526251,Mid East Portfolio Management Ltd,Please find attached herewiht the Integrated Financials and related documents,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1e4e91d2-ccd1-478f-bb46-05b9679d3129.pdf,19/04/25,82602ee4-0eab-4401-abd3-d31ac7aa4570
541450,Adani Green Energy Ltd,"Adani Green Energy Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 28/04/2025 ,inter alia, to consider and approve the Audited Financial Results ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d10a59c7-38b1-46d4-8c0d-a4da5228b8a6.pdf,19/04/25,7c11fffd-35a0-42bb-bd12-087117a63dfe
